start,end,years,grants,name,link,genre
1993,2014,14,33,Pillsbury House Theatre,http://pillsburyhouseandtheatre.org/,Theater
1975,2014,33,25,Ensemble Studio Theatre,http://ensemblestudiotheatre.org/,Theater
1976,2014,33,22,Mixed Blood Theatre Company,http://www.mixedblood.com/,Theater
1974,2014,31,20,New Dramatists,http://newdramatists.org/,Theater
1984,2014,31,20,Red Eye Theater,http://www.redeyetheater.org/,Theater
1982,2014,26,18,Mabou Mines Development Foundation,http://www.maboumines.org/,Theater
1996,2014,16,14,In the Heart of the Beast Puppet and Mask Theatre,http://hobt.org/,Theater
1997,2014,17,14,The Foundry Theatre,http://www.thefoundrytheatre.org/,Theater
1993,2014,20,13,Mu Performing Arts,http://www.muperformingarts.org/,Theater
1996,2014,19,10,New York Theatre Workshop,http://www.nytw.org/,Theater
1996,2014,12,9,Pangea World Theater,http://pangeaworldtheater.org/,Theater
2000,2014,14,7,Soho Repertory Theatre,http://sohorep.org/,Theater
1976,2014,39,44,The Playwrights' Center,http://www.pwcenter.org/,Theater
1977,1998,21,13,The Drawing Center,http://www.drawingcenter.org/,Visual Arts
1986,1998,13,9,Alternative Museum,http://alternativemuseum.org/,Visual Arts
1977,2001,20,14,Women's Art Registry of Minnesota,http://www.thewarm.org/,Visual Arts
1990,2002,11,8,Bronx Council of the Arts,http://bronxarts.org/,Visual Arts
1970,2005,16,22,Saint John's University,http://www.csbsju.edu/,Visual Arts
1991,2005,13,8,White Columns,http://www.whitecolumns.org/,Visual Arts
1979,2006,25,17,Artists Space,http://artistsspace.org/,Visual Arts
1994,2008,14,12,Minnesota Center for Photography,,Visual Arts
1982,2010,11,12,Duluth Art Institute,http://www.duluthartinstitute.org/,Visual Arts
1991,2010,19,12,Exit Art / The First World,http://en.wikipedia.org/wiki/Exit_Art,Visual Arts
1999,2011,12,12,Franklin Art Works,http://www.franklinartworks.org/,Visual Arts
1971,2014,38,27,Minneapolis College of Art and Design,http://mcad.edu/,Visual Arts
1976,2014,34,20,The Minneapolis Institute of Arts,http://new.artsmia.org/,Visual Arts
1997,2012,14,11,Momenta Art,http://www.momentaart.org/,Visual Arts
1990,2014,25,23,Northern Clay Center,http://www.northernclaycenter.org/,Visual Arts
1981,2014,32,21,Forecast Public Artworks,http://forecastpublicart.org/,Visual Arts
1987,2014,20,21,Lower Manhattan Cultural Council,http://www.lmcc.net/,Visual Arts
1991,2014,24,19,Art in General,http://www.artingeneral.org/,Visual Arts
1993,2014,22,17,The Soap Factory,http://www.soapfactory.org/,Visual Arts
1985,2014,22,16,The Bronx Museum of the Arts,http://www.bronxmuseum.org/,Visual Arts
1998,2014,17,10,Lower East Side Printshop,http://www.printshop.org/web/,Visual Arts
1996,2014,18,10,Socrates Sculpture Park,http://www.socratessculpturepark.org/,Visual Arts
1980,2014,17,10,The Studio Museum in Harlem,http://www.studiomuseum.org/,Visual Arts
1995,2014,20,17,Textile Center of Minnesota,http://www.textilecentermn.org/,Visual Arts
1997,2014,18,14,Franconia Sculpture Park,http://www.franconia.org/,Visual Arts
1999,2014,16,12,Smack Mellon Studios,http://smackmellon.org/,Visual Arts
2002,2014,13,9,Highpoint Center for Prontmaking,http://highpointprintmaking.org/,Visual Arts
