location,year,Artist name,Co-applicant name,Film title,Link
New York City,1985,Lynne Tillman,,Two Serious Ladies,
New York City,1985,James D. Trainor,,Oceania,
New York City,1985,Edin Velez,,Meaning of the Interval,http://www.edinvelez.com/
New York City,1986,Stephanie Black,,H-2 Worker,http://www.lifeanddebt.org/
New York City,1986,Tone Blevins,,Spectre Woman Chronicles,
New York City,1986,Emily Breer,,Spiral,
New York City,1986,Donna Cameron,,"Tyger, Tyger",http://www.donnacameron.info/
New York City,1986,Abigail Child,,Mercy,http://abigailchild.com/
New York City,1986,Su Friedrich,,Damned If You Don't,http://www.sufriedrich.com/
New York City,1986,Jennie Livingston,,Paris is Burning,
New York City,1986,Rita Myers,,Phantom Cities,
New York City,1986,Matthew Schlanger,,"Black Dog Dreams, Blue Mercury and Bad Knees",http://www.lumpybanger.com/
New York City,1986,Bill Stephens,,The Manhattanland Grant Company,
New York City,1986,Jane Weinstock,,The Clean Up,
New York City,1987,Eugenia Balcells,,Seeing the Dance,http://www.eugeniabalcells.com/
New York City,1987,David Blair,,WAX or the Discovery of Television Among the Bees,http://www2.iath.virginia.edu/wax/english/1movie/1all/F/1/1a1a2a1.html
New York City,1987,Joan Braderman,,Joan Sees Stars,
New York City,1987,Olivia Carrescia,,Todos Santos Cuchumatan: Report from a Guatemalan Village,
New York City,1987,Ken Feingold,,Childhood/Hot & Cold Wars,http://www.kenfeingold.com/
New York City,1987,Vanalyne Green,,A Spy in the House that Ruth Built,
New York City,1987,Marjorie Keller,,Private Parts,
New York City,1987,Rob Schweber,,WORD UP (Part One),
New York City,1987,Maureen Selwood,,Flying Circus: An Imagined Memoir,http://maureenselwood.com/
New York City,1988,Caroline Avery,,Tale of the Widowed Mirror,
New York City,1988,Mark Daniels,,Reciprocating Chambers,
New York City,1988,Douglas Eisenstark,,Leonardo:  The Mind of a Painter,
New York City,1988,Holly Fisher,,Bullets for Breakfast,
New York City,1988,Sharon Greytak,,Hearing Voices,http://www.sharongreytak.com/
New York City,1988,Lewis Klahr,,"Tales of the Forgotten Future, Parts III and IV",
New York City,1988,Anita Thacher,,Lost/In Memoriam,http://www.anitathacher.com/
New York City,1988,Leslie Thornton,,Peggy and Fred in Hell,
New York City,1988,Jack Walsh,,The Second Coming,
New York City,1988,Grahame Weinbren,,Sonata,http://grahameweinbren.net/
New York City,1988,Darrell Wilson,,Untitled,
New York City,1989,Jeff Balsmeyer,,The Room,http://www.jeffbalsmeyer.com/ftp.jeffbalsmeyer.com/Features.html
New York City,1989,Alan Berliner,,Intimate Stranger,http://www.alanberliner.com/
New York City,1989,Shu Lea Cheang,,Those Fluttering Objects of Desire,http://www.mauvaiscontact.info/
New York City,1989,Mark D’Auria,,Smoke,
New York City,1989,Gordon Eriksen,,Manchild,http://gordoneriksen.com/
New York City,1989,Ann Flournoy,,HOW TO BE LOUISE,http://anneflournoy.com/
New York City,1989,Nina Fonoroff,,The Accursed Mazurka,http://www.ninafonoroff.com/
New York City,1989,Su Friedrich,,Sink or Swim,http://www.sufriedrich.com/
New York City,1989,Matthew Geller,,Lizard Sales,http://www.matthewgeller.com/
New York City,1989,Barbara Hammer,,Sanctus,http://barbarahammer.com/
New York City,1989,Todd Haynes,,Poison,
New York City,1989,Peter Herwitz,,In the Shape of Waking,
New York City,1989,Franco Marinai,,"Y.I.M.E.R., Feet and Meters, Mirrors & Word for Word",http://www.marinai.com/
New York City,1989,Pola Rapaport,,Broken Meat,http://www.polarapaport.com/
New York City,1989,Terese Svoboda,,Orphans ,http://www.teresesvoboda.com/
New York City,1990,Peggy Ahwesh,,The Trilogy of Plato’s Cave: The Family Crisis,http://www.hi-beam.net/mkr/pa/pa-bio.html
New York City,1990,Irit Batsry,,Traces of a Presence to Come,http://www.iritbatsry.com/
New York City,1990,Terry Berkowitz,,A Rock and a Hard Place,http://www.terryberkowitz.com/
New York City,1990,Jonathan Berman,,The Shvitz,http://www.docurama.com/docurama/the-shvitz/
New York City,1990,Roddy Bogawa,,Some Divine Wind,http://www.roddybogawa.com/
New York City,1990,Donna Cameron,,Transpo,http://www.donnacameron.info/
New York City,1990,Ayoka Chenzira,,Alma’s Rainbow,http://www.ayoka.com/
New York City,1990,Abigail Child,,B/side,http://abigailchild.com/
New York City,1990,Leslie Harris,,Just Another Girl on the IRT,
New York City,1990,Kathryn High,,Underexposed: The Temple of the Fetus,
New York City,1990,Harriet A. Hirshorn,,The Disappearance of TiSoeur,
New York City,1990,Tom Kalin,,Swoon,
New York City,1990,Susan Meiselas,,Pictures from a Revolution,http://www.susanmeiselas.com/
New York City,1990,Kelvin Zachary Phillips,,Love In Brief,
New York City,1990,Daniel Walworth,,San Antonio Rose,
New York City,1990,Philip O. Weisman,,The Fugitive Chef,
New York City,1991,Beth B,,Under Lock and Key,http://www.bethbproductions.com/
New York City,1991,Zoe Beloff,,Echo,http://www.zoebeloff.com/
New York City,1991,Mark LaPore,,100 Views of New York,
New York City,1991,Daniel Minahan,,His Father's Song,
New York City,1991,Keith Sanborn,,The Gift,
New York City,1991,Jeffrey Noyes Scher,,Milk of Amnesia,
New York City,1991,Ellen Spiro,,Party Safe!,http://www.spirofilms.com/
New York City,1991,Penelope Wehrli,,"Kuss, Ikone, Kupala",http://andreaweiss.net/
New York City,1991,Andrea Weiss,,A Suitcase in Berlin,http://www.aether1.org/
New York City,1992,Maria Beatty,,Interior Scroll,
New York City,1992,Kyle Boyd,,Life Matters,
New York City,1992,Olivia Carrescia,,Mayan Voices: American Lives,http://icarusfilms.com/filmmakers/carr.html
New York City,1992,Yau Ching,,Flow,
New York City,1992,Jem Cohen,,Lost Book Found,http://jemcohenfilms.com/wp/
New York City,1992,Norman Cowie,,Scenes from an endless war (2001-2002),
New York City,1992,Susan Delson,,Arranging Flowers/A Definition of Luck,
New York City,1992,Richard Fahey,,Value 2 Comics,
New York City,1992,Su Friedrich,,Bedtime Stories,http://www.sufriedrich.com/
New York City,1992,Robin Guarino,,I Turned and Looked Another Way,http://www.robinguarino.com/clients/guarinor/nav/splash.shtml
New York City,1992,Thomas Allen Harris,,VINTAGE—Families of Value,http://www.chimpanzeeproductions.com/about.html
New York City,1992,Valerie Immy Humes,,Which Witch?,http://www.dochumes.com/
New York City,1992,Leandro Katz,,El Día Que Me Quieras,http://www.leandrokatz.com/
New York City,1992,Erik Day Lewis,,The Lost Artist - An Urban Fairytale,
New York City,1992,Nora Ligorano,Marshall Reese,Acid Migration of Culture,http://ligoranoreese.net/
New York City,1992,Jennifer Montgomery,,"I, a Lamb",http://www.ruthozeki.com/
New York City,1992,Ruth Ozeki,,Halving the Bones,
New York City,1992,Katherine Rivera Pieratos,,Wilma and Nicky,
New York City,1992,Trish Rosen,Kate Farrell,How Many Men?...,
New York City,1992,Catherine Saalfield,Jacqueline Woodson,Hallelujah!,
New York City,1992,Garth Stein,,Street Noise,
New York City,1992,Leslie Thornton,,The Great Invisible,
New York City,1993,Susana Aikin,Carlos Aparicio,The Transformation,http://susanaaikin.org/
New York City,1993,Mark D’Auria,,Feet of Clay,
New York City,1993,Mary Filippo,,The Trickle Down Theory of Sorrow,
New York City,1993,Larry Gottheim,,Chants & Dances for Hand,
New York City,1993,Amy Greenfield,,Raw-Edged Woman,http://www.amygreenfieldfilms.com/
New York City,1993,Sharon Greytak,,The Love Lesson,http://www.sharongreytak.com/
New York City,1993,Henry Hills,Sally Silvers,Mechanics of the Brain,http://www.henryhills.com/
New York City,1993,Yunah Hong,,Between the Lines: Asian American Women’s Poetry,
New York City,1993,Chris Kraus,,Gravity and Grace,http://semiotexte.com/?page_id=139
New York City,1993,Sherry Millner,,Wet Palms,
New York City,1993,Marilyn Rodan,,Girlina,
New York City,1993,Demetria Royals,,Inventing Herself,
New York City,1993,Calogero Salvo,,"Mama, I Have Something To Tell You",http://www.calogerosalvo.com/
New York City,1993,Dwight L. Smith,,Circles,
New York City,1994,Karim Aïnouz,,"Paixão Nacional/National Passion, parts II & III",
New York City,1994,Roddy Bogawa,,Junk,http://www.roddybogawa.com/
New York City,1994,Emily Breer,,Superhero,
New York City,1994,Jean Carlomusto,,To Catch a Glimpse,http://www.jeancarlomusto.com/
New York City,1994,Christine Chang,,House of Venus Flytrap,
New York City,1994,Yau Ching,,Diasporama,
New York City,1994,Joel Katz,,Dear Carry,http://www.onierafilms.com/Oniera_Films/home.html
New York City,1994,Jennifer Montgomery,,Art for Teachers of Children,
New York City,1994,Esther Podemski,,House of the World,http://www.estherpodemski.com/
New York City,1994,Ellen Spiro,,Roam Sweet Home,http://www.spirofilms.com/
New York City,1994,Carolyn Strachan,,Drowned Rats,
New York City,1994,Ela Troyano,,Latin Boys Go To Hell,
New York City,1995,Jo Andres,,Black Kites,http://joandres.com/
New York City,1995,Adam Cohen,,Fire of Time,http://www.blindgrace.com/index.html
New York City,1995,Janie Geiser,,Magnetic Sleep,http://www.janiegeiser.com/
New York City,1995,Peter Herwitz,,Patina,
New York City,1995,Kathryn High,,The 23 Songs of the Chromosomes,
New York City,1995,Lewis Klahr,,Pony Glass,
New York City,1995,Bill Oliver,,The Debutante,http://billoliverdirector.com/
New York City,1995,Tony Pemberton,,Beyond the Ocean,
New York City,1995,Jennifer Reeves,,Chronic,http://www.jenniferreevesfilm.com/pages/index.php
New York City,1995,Al Santana,,Journey 1000,http://www.alsantana.com/
New York City,1995,Peter Sillen,,I Am Secretly an Important Man,http://pumpernickelinc.com/
New York City,1995,Jocelyn Taylor,,Bodily Functions,
New York City,1996,Terry Berkowitz,,Chant for the Unsettled,http://www.terryberkowitz.com/
New York City,1996,Gregg Bordowitz,,The Suicide,http://www.greggbordowitz.com/
New York City,1996,Sandi DuBowski,,Trembling Before G-d,
New York City,1996,Daresha Kyi,,"Loosen Knot, Release Me",
New York City,1996,Lana Lin,,Almost the Cocktail Hour,http://www.linpluslam.com/index/home.html
New York City,1996,Ioannis Mookas,,Only Human,
New York City,1996,Suzie Silver,,The Look of Love: A Gothic Romance,http://harpsilver.com/artists/Suzie-Silver
New York City,1996,Laurie Wen,,"Don’t Worry, I’m Fine",
New York City,1997,John Kolomvakis,James Dowell,Sleep in a Nest of Flames,http://www.sleepinanestofflames.com/index.html
New York City,1997,Alisa Lebow,Cynthia Madansky,Treyf,http://www.madansky.com/
New York City,1997,Julia Loktev,,Moment of Impact,
New York City,1997,Susan Muska,Gréta Ólafsdóttir,The Brandon Teena Story,
New York City,1997,Jeffrey Noyes Scher,,Grand Central,http://fezfilms.net/
New York City,1998,Doug Aitken,,Eraser,http://www.dougaitkenworkshop.com/
New York City,1998,Omonike Akinyemi,,Nelly’s Bodega,
New York City,1998,Zoe Beloff,,Where Where There There Where,http://www.zoebeloff.com/
New York City,1998,Cecilia Dougherty,,Gone,http://www.ceciliadougherty.com/
New York City,1998,Robert Fenz,,Revival,
New York City,1998,Holly Fisher,,Kalama Sutta: Seeing is Believing,
New York City,1998,Amy Jenkins,,"Sheltering for Daydreaming, From the Same Water, and Whirligig",http://www.amyjenkins.net/
New York City,1998,Kirsten Johnson,Julia Pimsleur,Innocent Until Proven Guilty,
New York City,1998,Susan Korda,,One of Us,
New York City,1998,Ernest Larsen,,Yellow Cab,
New York City,1998,Luca Buvoli,,Flying: Practical Training for Beginners,http://www.lucabuvoli.com/
New York City,1998,Eve-Laure Moros,Linzy Emery,Made in Thailand,
New York City,1998,Julie Murray-Noble,,"Micromoth, Untitled (Blood), and Deliquium",http://julifilm.blogspot.com/
New York City,1998,Allison Prete,,Lavender Lake,
New York City,1998,Pola Rapaport,,Blind Light,http://www.polarapaport.com/
New York City,1998,Gideon Shmorak,,An Ocean Apart,
New York City,1998,Nandini Sikand,,Don’t Fence Me In,http://www.nandinisikand.com/
New York City,1998,Joe Sola,,The Anxiety of the Rented Room,http://www.joesola.info/
New York City,1998,Debra Solomon,,Everybody’s Pregnant,http://debrasolomon.com/
New York City,1998,Kim-Chi Tyler,,Chac,
New York City,1998,Richard Wormser,,Behind The Veil,
New York City,1998,Alessandra Zeka,Rob Rapley,Të Durosh,http://www.adrenalinefilms.net/index.html
New York City,1999,Emily Abt,Yoruba Richen,Take It From Me,http://purelandpictures.com/
New York City,1999,Peggy Ahwesh,,The Star Eaters,http://www.hi-beam.net/mkr/pa/pa-bio.html
New York City,1999,Shawn Atkins,,The Traveling Eye of the Blue Cat,
New York City,1999,Phyllis Baldino,,Color Without Color,http://phyllisbaldino.com/
New York City,1999,Lana Bernberg,,Wake Me When It’s Over,
New York City,1999,Nicholas Blair,,Our Holocaust Vacation,http://ourholocaustvacation.com/
New York City,1999,Eva Ilona Brzeski,,Last Seen,http://evailonabrzeski.com/
New York City,1999,Martha Holloway Burgess,,Ignatz’ Nose,http://marthaburgess.com/
New York City,1999,Laurie Collyer,,Nuyorican Dream,
New York City,1999,Tania Lucia Cypriano,,Grandma Has a Video Camera,http://www.taniacypriano.com/
New York City,1999,Alice Elliott,,The Collector of Bedford Street,http://www.newday.com/filmmakers/Alice_Elliott.html
New York City,1999,Rodney Evans,,Brother To Brother,http://www.rodneyevansfilm.com/
New York City,1999,Jennifer Fieber,,Their Idols Disintegrate,
New York City,1999,Nicole Koschmann,,"Black, White and Yellow",
New York City,1999,Patrice Mallard,,BRIARS WILL CUT: My Mother’s Line,
New York City,1999,Greg Pak,,Brother Killer Wolf,http://gregpak.com/
New York City,1999,Walid Ra’ad,,Hostage,http://www.theatlasgroup.org/
New York City,1999,Pola Rapaport,,FAMILY SECRET,http://www.polarapaport.com/
New York City,1999,Craig Renaud,,A Harlem Tale,http://www.renaudbrothers.com/
New York City,1999,Dempsey Rice,,Daughter of Suicide,http://www.dempseyrice.com/
New York City,1999,Joel Schlemowitz,,Venus in Furs,http://www.joelschlemowitz.com/
New York City,1999,Angel Velasco Shaw,,Excuse me...Are You Pilipino? ,
New York City,1999,Sasha Waters,,Razing Appalachia,http://www.pieshake.com/
New York City,1999,Juan Carlos Zaldivar,,90 MILES,
New York City,2000,Zoe Beloff,,Shadow Land or Light From the Other Side,http://www.zoebeloff.com/
New York City,2000,François Bucher,,White Balance (to think is to forget differences),
New York City,2000,Lisa DiLillo,,Tongues Don't Have Bones: A Journey Into Burma,www.lisadilillo.com
New York City,2000,Tirtza Even,Brian Karl,"Far, Along",http://tirtzaeven.info/
New York City,2000,Nicole Franklin,,I Was Made to Love Her,http://www.nicolefranklin.com/
New York City,2000,Brian Frye,,Wormwood’s Dog and Monkey Show,http://www.dipperfilms.com/
New York City,2000,Jennifer Hardacker,,"Wherever You Go, There You Are",
New York City,2000,Dejan Kovacevic,,Mirror,
New York City,2000,Sarah Jane Lapp,,Chronicles of A Professional Eulogist,http://www.cinemagoat.com/
New York City,2000,Julia Loktev,,Said in Passing,
New York City,2000,Thomas Piper,,Can You Get To That:  The Welfare to Work Trip.,
New York City,2000,Alex Rivera,,Sleep Dealer,http://alexrivera.com/
New York City,2000,Shelly Silver,,Suicide,http://www.shellysilver.com/
New York City,2000,Eve Sussman,,China/White—Scenes from an Exile ,http://www.rufuscorporation.com/
New York City,2000,Reiko Tahara,,The GateKeeper of Enmyoin,
New York City,2000,Hannah Weyer,,Escuela,http://hannahweyer.com/
New York City,2001,Linda Goode Bryant,Laura Poitras,Flag Wars,http://www.zeitgeistfilms.com/film.php?directoryname=flagwars&mode=filmmaker
New York City,2001,Paul Chan,,"Happiness (Finally) After 35,000 Years of Civilization",http://www.nationalphilistine.com/happiness/
New York City,2001,Maya Churi,,Forest Grove,
New York City,2001,Lisa Crafts,,The Flooded Playground,http://www.lisacrafts.com/
New York City,2001,Jim de Séve,,Tying the Knot,
New York City,2001,James Dowell,John Kolomvakis,Ned Rorem:  Word and Music,
New York City,2001,Rebecca (Feig) Dreyfus,,STOLEN,
New York City,2001,Judd Ehrlich,,Mayor of the West Side,http://flatbushpictures.com/
New York City,2001,Elizabeth Elson,,Born in a Barn,
New York City,2001,Michael Gitlin,,the birdpeople,http://michaelgitlin.com
New York City,2001,Harriet A. Hirshorn,,Pote Mak Sonje:  The Raboteau Trial,
New York City,2001,Georgia Lee,,Red Doors,http://www.reddoorsthemovie.com/
New York City,2001,Aaron Mathews,,A Panther in Africa,http://www.aaronmatthews.com
New York City,2001,Manoshi Chitra Neogy,,Sand Shades,http://www.sandshades.org/
New York City,2001,Kristen Nutile,,Secret Mechanisms,http://www.softspokenfilms.com/
New York City,2001,Ramón Rivera-Moret,,On Calloway Street,
New York City,2001,Matt Ruskin,,The Glen of the Downs,http://www.8feettall.com/
New York City,2001,Jeff Shames,Jonathan Skurnik,Spit It Out,http://www.mintleafproductions.com
New York City,2001,Rico Speight,,Where Are They Now?,http://ricoworkshop.com
New York City,2002,Mark Becker,,Romantico,http://www.meteorfilms.org/
New York City,2002,Gregory Branch,,Real-Life Reconciliation,
New York City,2002,Katy Chevigny,,Deadline,http://www.bigmouthproductions.com
New York City,2002,Tana Hargest,,New Negrotopia,
New York City,2002,Yael Kanarek,,World of Awe,http://www.worldofawe.net/
New York City,2002,Ross Kauffman & Zana Briski,,Born Into Brothels,http://www.kids-with-cameras.org
New York City,2002,Nora Ligorano,Marshall Reese,Fiber Optic Tapestry--50 Different Minds,http://ligoranoreese.net/
New York City,2002,Kristin Lucas,,Supervision,http://www169.pair.com
New York City,2002,Rena Mundo Croshere,Nadine Mondo,American Commune,http://www.americancommunemovie.com
New York City,2002,Mayu Nakamura,,The Summer of Stickelback,
New York City,2002,Stefan Roloff,,The Red Orchestra,http://www.when6is9.com
New York City,2002,Kit-Yin Snyder,,Double Exposure,http://www.kityinsnyder.com/
New York City,2002,Kimberly Wood,,On My Knees,http://www.kimwood.org/
New York City,2002,Suzi Yoonessi,,Vern,http://www.suziyoonessi.com
New York City,2002,Marina Zurkow,,Nicking the Never,http://www.o-matic.com/
New York City,2003,Seoungho Cho,,ws.3,
New York City,2003,Jason DaSilva,,Lest We Forget,
New York City,2003,Elle Flanders,,Zero Degrees of Separation ,
New York City,2003,Leah Gilliam,,Agenda for a Landscape Vol. 6,
New York City,2003,Sarah Goodman,,Army of One,http://redstorm.ca/army-of-one/
New York City,2003,Jacqueline Goss,,How To Fix The World,http://www.jacquelinegoss.com/
New York City,2003,Shaun Irons,Lauren Petty,Artificial Paradise,http://www.automaticrelease.org/
New York City,2003,Annemarie Jacir,,like twenty impossibles,
New York City,2003,Stephen Marshall,Josh Shore,American Blackout,http://revolutiontheory.com
New York City,2003,Liselle Mei,,Lower East Side Stories,http://www.qifilm.com
New York City,2003,Alysa Nahmias,Benjamin Murray,Unfinished Spaces,http://www.unfinishedspaces.com
New York City,2003,Reynold Reynolds,,Stadtplan,http://artstudioreynolds.com
New York City,2003,Richard Rowley,Jacqueline Soohen,The Fourth World War,http://www.bignoisefilms.com
New York City,2003,Lynne Sachs,,States of UnBelonging,http://www.lynnesachs.com/
New York City,2003,Ruth Sergel,,Belle,http://streetpictures.org/
New York City,2003,Kirk Shannon-Butts,,Blueprint,http://www.flickeria.com
New York City,2003,Therese Shechter,,I Was a Teenage Feminist,http://www.trixiefilms.com/
New York City,2003,Mark Street,,Rockaway,http://www.markstreetfilms.com
New York City,2003,Shashwati Talukdar,,Eunuch Alley,shashwati.com
New York City,2003,Sarah Teitler,,All Roads Lead to the Sea,http://allroadsleadtothesea.com
New York City,2003,Jade Wu,,In Search of Golden Phoenix:  The Invisible Legacy,http://www.goldenphoenixproductions.com
New York City,2004,Don Bernier,,In A Nutshell: A Portrait of Elizabeth Tashjian,http://www.mimeticmedia.com/main.html
New York City,2004,Nicole Cattell,,REVOLUC!ON: CINCO MIRADAS/ FIVE VISIONS,http://www.nicolecattell.com/
New York City,2004,Norman Cowie,,The Dimension In Which It Reigns Supreme,http://www.vdb.org/artists/norman-cowie
New York City,2004,Joseph Cultrera,,HAND OF GOD,http://www.zingerplatz.com/
New York City,2004,Angie Eng,,Memobile,http://angieeng.com/
New York City,2004,Diane Fraher,,THE REAWAKENING,http://amerinda.org/reawakening/thestory.htm
New York City,2004,Louis V. Galdieri,Ken Ross,1913 Massacre,http://1913massacre.com
New York City,2004,Denis Iris,,A Year of Minimentals,http://www.deniseiris.com
New York City,2004,Jacquie Jones,,"Diagnosis: Babies, Breast Cancer & the Lives of Modern Women",
New York City,2004,Shin il Kim,,Invisible Masterpiece,
New York City,2004,Jeanne Liotta,,Observando El cielo,http://www.jeanneliotta.net
New York City,2004,Cynthia Madansky,,Presence,http://www.madansky.com/
New York City,2004,Tricia McLaughlin,,SeeWorld,http://www.triciamclaughlin.net/
New York City,2004,Kristen Nutile,,Loss,http://www.softspokenfilms.com/
New York City,2004,Catalina Santamaria,,Luminescence,
New York City,2004,Kit-Yin Snyder,,Me & Marco Polo,http://www.kityinsnyder.com/
New York City,2004,Scott Solary,Luci Westphal,All God’s Children,
New York City,2004,Thea St. Omer,,GAZE: a look at love,http://trufilms.com/
New York City,2004,Marjan Tehrani,,Arusi Persian Wedding,http://www.allgodschildrenthefilm.com
New York City,2004,Melissa Young,,Fireflies and June Bugs,
New York City,2005,Louis A. Abelman,Bent-Jorgen Perlmutt,Lumo,http://www.louisabelman.com/
New York City,2005,Signe Baumane,,Birth,http://www.signebaumane.com/
New York City,2005,Andrew Berends,,The Blood of My Brother: A Story of Death in Iraq,http://www.storytellerinc.com/
New York City,2005,Virgilio “Vee” Bravo,,Estilio Hip Hop,http://www.pbs.org/itvs/globalvoices/estilohiphop.html
New York City,2005,Martha Colburn,,Destiny Manifesto and Meet Me in Wichita,http://www.marthacolburn.com/
New York City,2005,Lisa Fisher,,Positive Women (working title),
New York City,2005,Joshua Frankel,,BICYCLE MESSENGERS,http://joshuafrankel.net/
New York City,2005,Richard Hankin,,Home Front,http://www.lookingglassfilms.net/index.html
New York City,2005,Shalini Kantayya,,A Drop of Life,http://shalinikantayya.net/
New York City,2005,Jodi Kaplan,,In the Blood,http://www.jodikaplan.com/
New York City,2005,Gregory King,,Rotating Mirror,http://www.gregoryking.net/film/
New York City,2005,Marie Losier,,The Ontological Cowboy,http://marielosier.net/
New York City,2005,Karen Mafundikwa,,The Price of Memory,https://www.facebook.com/pages/The-Price-of-Memory/286344298087129
New York City,2005,Tomoko Oguchi,,Folklore Restaurant,http://www.tomokooguchi.com/Home.html
New York City,2005,JP Olsen,,The Narcotic Farm,http://www.narcoticfarm.com/index.html
New York City,2005,Bari Pearlman,,Daughters of Wisdom,http://www.btgproductions.com/
New York City,2005,Daniel Ragussis,,Haber,http://www.haberfilm.com/index.html
New York City,2005,Yoruba Richen,,Promised Land,http://www.promisedlandfilm.com/
New York City,2005,Tara Wray,,"Manhattan, Kansas",http://www.tarawray.net/
New York City,2006,Keith Bearden,,Train Town,http://lapster.wix.com/keithbearden
New York City,2006,Cherien Dabis,,Make a Wish,http://cheriendabis.me/
New York City,2006,Yunah Hong,,Anna May Wong: In Her Own Words,
New York City,2006,Sarah Kunstler,Emily Kunstler,William Kunstler: Disturbing the Universe,http://disturbingtheuniverse.com/
New York City,2006,Lanre Olabisi,,August the First,http://www.augustthefirst.com/
New York City,2006,Marlo Poras,,Run Granny Run,
New York City,2006,Matthew Frank Thomas,,The Kindness of Strangers,http://www.matthewthomasart.com/
New York City,2006,Suzi Yoonessi,,"Dear Lemon Lima,",http://www.suziyoonessi.com/
New York City,2006,Adam Zucker,,Greensboro: Closer to the Truth,http://www.greensborothemovie.com/film/index.html
New York City,2007,Mitch Deoudes,,The Death of Doctor Island,http://houseofpain.org/
New York City,2007,Jörg Fockele,,Limbus,http://fockele.com/index_fl.html
New York City,2007,Sarah Friedland,,Thing With No Name,http://sarahfriedland.com/
New York City,2007,Jennifer Grausman,,Pressure Cooker,http://www.nonsequiturproductions.com/
New York City,2007,Lovisa Inserra,,Buster,http://www.bunkerland.com/
New York City,2007,Maryam Keshavarz,,Persian Fashionistas: A New Generation of Revolutionaries,http://www.maryamkeshavarz.com/
New York City,2007,Mitch McCabe,,Youth Knows No Pain,http://mitchmccabe.com/
New York City,2007,Moon Molson,,Crazy Beats Strong Every Time,http://www.crazybeatsstrong.com/
New York City,2007,Ian Olds,,Fixer: The Taking of Ajmal Naqshbandi,http://arts.columbia.edu/film/ian-olds
New York City,2007,Rachel Perkoff,,Another Lost Angel,http://www.anotherlostangel.org/
New York City,2007,Gabriella Spierer,,RAISING INMATE 3851,http://adhesivefilms.net/index.html
New York City,2007,Ray Tintori,,Glory At Sea,http://court13.com/
New York City,2007,Luci Westphal,,All’s Well and Fair,http://allswellandfair.com/
New York City,2008,Natalia Almada,,El General,http://www.altamurafilms.com/
New York City,2008,Michael L. Brown,,25 to Life,http://25tolifefilmsite.com/
New York City,2008,Michael Collins,,Give Up Tomorrow,http://www.pacodocu.com/
New York City,2008,J.B. Herndon,,Autopilot,https://www.facebook.com/pushingtheelephant
New York City,2008,Mai Iskander,,Garbage Dreams,http://www.recurringfilms.com/home.html
New York City,2008,Ana Joanes,,"Fresh
New York City,",http://www.garbagedreams.com/
New York City,2008,Erik Levine,,cocker,http://www.freshthemovie.com/
New York City,2008,Kalup Linzy,,Notes from a Limerent,http://www.eriklevine.com/index.html
New York City,2008,Elizabeth Mandel,Beth Davenport,Pushing The Elephant,http://www.kaluplinzyartist.com/
New York City,2008,John Menick,,Paris Syndrome,http://www.johnmenick.com/
New York City,2008,Elinyisia Mosha,,Anatomy of Poverty,http://firelightmedia.tv/2011/01/elinyisia-mosha/
New York City,2008,Aaron Schock,,CIRCO (”Circus”),
New York City,2008,Jackie Smith,,If I Leap,http://ericmorrell.net/work/if-i-leap
New York City,2008,Rachel Smith,,The Problem of Haiti,
New York City,2008,Stephanie Wang-Breal,,"Wo Ai Ni Mommy (I Love You, Mommy)",http://www.stephaniewangbreal.com/
New York City,2008,Miao Wang,,Beijing Taxi,http://www.miaowang.com/
New York City,2008,Avi Zev Weider,,Welcome to the Machine,http://www.avizevweider.com/
New York City,2008,James N. Kienitz Wilkins,,Public Hearing,http://www.automaticmoving.com/
New York City,2008,Susan Youssef,,Habibi,http://habibithefilm.com/index.html
New York City,2009,Mary Billyou,,"GUN, HAT...",http://marybillyou.com/
New York City,2009,Ian Cheney,,The City Dark,http://iancheney.wordpress.com/
New York City,2009,Carter Gunn,Ross McDonnell,Colony,http://rossmcdonnell.com/colony.html
New York City,2009,Gabriela Ilijeska,,Azra,http://gabriela-i.zxq.net/
New York City,2009,Hossein Keshavarz,,Dog Sweat,http://www.dogsweatthefilm.com/
New York City,2009,Craig Macneill,,Henley,http://www.northlakefilms.com/
New York City,2009,John Magary,,"Go Down, Antoinette",https://www.facebook.com/themendfilm
New York City,2009,Marlo Poras,,The Mosuo Sisters,
New York City,2009,Duncan Skiles,Masie Cochran,Still Life,http://waverlyfilms.com/duncan/
New York City,2009,Remy Weber,,Kiss the Past Goodbye,
New York City,2009,Gabrielle Weiss,,The Color of Land,
New York City,2010,Reuben Atlas,,The Brothers Hypnotic,http://www.hypnoticbrassfilm.com/
New York City,2010,Signe Baumane,,A Guide to Survival,http://www.signebaumane.com/
New York City,2010,Keith Bearden,,God Hates Kansas,http://lapster.wix.com/keithbearden
New York City,2010,Patricia Benoit,,Stones in the Sun,https://www.facebook.com/StonesInTheSun
New York City,2010,Raquel Cepeda,,Deconstructing Latina,http://djalirancher.com/film/deconstructing-latina/
New York City,2010,Cristina Ibarra,,Las Marthas,http://www.undocumentedfilms.com/
New York City,2010,Marie Losier,,The Ballad of Genesis and Lady Jaye,http://www.balladofgenesisandladyjaye.com/ballad/
New York City,2010,Irina Patkanian,,Socrates of Kamchatka,http://www.kamchatkamovie.com/
New York City,2010,Jennifer Redfearn,,Sun Come Up,http://www.suncomeup.com/
New York City,2010,Maia Wechsler,,Melvin & Jean: An American Story,http://melvinandjean.com/
