Year,Artist name,Co-applicant name,Film title,Link
2008,Miao Wang,,Beijing Taxi,http://www.miaowang.com/
2008,Avi Zev Weider,,Welcome to the Machine,http://www.avizevweider.com/
2008,James N. Kienitz Wilkins,,Public Hearing,http://www.automaticmoving.com/
2008,Susan Youssef,,Habibi,http://habibithefilm.com/index.html
2009,Mary Billyou,,"GUN, HAT...",http://marybillyou.com/
2009,Ian Cheney,,The City Dark,http://iancheney.wordpress.com/
2009,Carter Gunn,Ross McDonnell,Colony,http://rossmcdonnell.com/colony.html
2009,Gabriela Ilijeska,,Azra,http://gabriela-i.zxq.net/
2009,Hossein Keshavarz,,Dog Sweat,http://www.dogsweatthefilm.com/
2009,Craig Macneill,,Henley,http://www.northlakefilms.com/
2009,John Magary,,"Go Down, Antoinette",https://www.facebook.com/themendfilm
2009,Marlo Poras,,The Mosuo Sisters,
2009,Duncan Skiles,Masie Cochran,Still Life,http://waverlyfilms.com/duncan/
2009,Remy Weber,,Kiss the Past Goodbye,
2009,Gabrielle Weiss,,The Color of Land,
2010,Reuben Atlas,,The Brothers Hypnotic,http://www.hypnoticbrassfilm.com/
2010,Signe Baumane,,A Guide to Survival,http://www.signebaumane.com/
2010,Keith Bearden,,God Hates Kansas,http://lapster.wix.com/keithbearden
2010,Patricia Benoit,,Stones in the Sun,https://www.facebook.com/StonesInTheSun
2010,Raquel Cepeda,,Deconstructing Latina,http://djalirancher.com/film/deconstructing-latina/
2010,Cristina Ibarra,,Las Marthas,http://www.undocumentedfilms.com/
2010,Marie Losier,,The Ballad of Genesis and Lady Jaye,http://www.balladofgenesisandladyjaye.com/ballad/
2010,Irina Patkanian,,Socrates of Kamchatka,http://www.kamchatkamovie.com/
2010,Jennifer Redfearn,,Sun Come Up,http://www.suncomeup.com/
2010,Maia Wechsler,,Melvin & Jean: An American Story,http://melvinandjean.com/
2010,Gabriel Winer,,The Terrors of Basket Weaving,http://cargocollective.com/gabrielwiner/The-Terrors-of-Basket-Weaving
2010,Jessica Wolfson,Paul Lovelace,Radio Unnameable,http://www.radiounnameablemovie.com/
2010,Jeremy Xido,,The Angola Project,http://www.c6films.com/ANGOLA/
2011,Angad Bhalla,,Herman’s House,http://hermanshousethefilm.com/
2011,Alice Cox,,Poisonberry,http://rustrainfilms.com/?item=pberry
2011,Enrico Cullen,,Salt in the Air,http://saltintheair.net/
2011,Jason DaSilva,,When I Walk,http://wheniwalk.com/
2011,Bart Everly,,Velvet Vision,http://www.barteverly.com/pages/film_velvet.html
2011,Yance Ford,,Strong Island,
2011,Oded Hirsch,,Nothing New,http://www.odedhirsch.com/videos/vid3.html
2011,Robin Honan,,Ain’t I A Woman,
2011,Devin Horan,,Late and Deep,http://devinhoran.carbonmade.com/projects/3259853#1
2011,Mai Iskander,,Words of Witness,http://www.wordsofwitness.com/
2011,Adam Keleman,,Long Days,http://adamkeleman.com/film_video.html
2011,Mark Kendall,,La Camioneta,http://www.lacamionetafilm.com/
2011,Alison Klayman,,Ai Weiwei: Never Sorry,http://aiweiweineversorry.com/
2011,Joshua Koury,Myles Kane,Journey to Planet X,http://journeytoplanetx.com/
2011,Penny Lane,Brian L. Frye,Our Nixon,http://www.ournixon.com/
2011,Abbey Luck,,The Observer,http://www.abbeyluck.com/film.html
2011,Xavier Marrades Orga,,Trans Time,
2011,Ruth Peyser,,I’m Here It’s Me Can You See,http://ruthpeyser.com/film/can-you-see.html
2011,Yoruba Richen,,The New Black,http://www.newblackfilm.com/
2011,Joshua Sanchez,,Four,http://www.fourthemovie.com/
2011,Carrie Schneider,,Burning House,http://carrieschneider.net/projects/burninghouse-chapas.html
2011,Jay Stern,,The Adventures of Paul and Marian,http://adventuresofpaulandmarian.com/
2011,Joshua Weinstein,,Drivers Wanted,http://www.driverswantedfilm.com/
2011,Matt Wolf,,Teenage,http://www.teenagefilm.com/
2012,Kevin T. Allen,,Real West,http://www.smallgauge.org/
2012,Andres Caballero,,El Pastor,http://www.capitalkpictures.com/elpastor.html
2012,Christina Choe,,My Axis of Evil,
2012,Maya Ciarrocchi,,Overburden,http://www.mayaciarrocchi.com/
2012,Scott Cummings,,BUFFALO JUGGALOS,http://buffalojuggalosfilm.tumblr.com/
2012,Jean-Michel Dissard,Gitte Peng,I Learn America,http://ilearnamerica.com/
2012,Blair Doroshwalther,,The Fire This Time,http://www.promisedlandfilm.com/films/the-fire-this-time-
2012,Zachary Heinzerling,,Cutie and the Boxer,http://www.cutieandtheboxer.com
2012,J.B. Herndon,,Dreamweapon,
2012,Devin Horan,,Grodek,http://devinhoran.carbonmade.com/projects/3260215#1
2012,Keith Miller,,FiveStar,http://www.keith-miller.com/
2012,Moon Molson,,"The Bravest, the Boldest",http://www.pactumfilms.com/#!thebravesttheboldest/c13ay
2012,Jeff Reichert,,Remote Area Medical,http://focusforwardfilms.com/films/37/
2012,Deb Shoval,,AWOL,
2012,Stefanie Sparks,,Cathy Coppola,http://www.cathycoppolamovie.com/
2012,Michele Stephenson,,American Promise,http://www.americanpromise.org/
2012,Christine Turner,,Homegoings,http://www.homegoings.com/
2012,Stephanie Wang-Breal,,Fighting Foster,http://www.stephaniewangbreal.com/project/fighting-foster/
2012,Sam Zalutsky,,How to Make it to the Promised Land,https://www.facebook.com/HowToMakeItToThePromisedLand
2013,Corinne Botz,,What the Doctor Said,http://www.corinnebotz.com/
2013,Aaron Brookner,,Smash the Control Machine: Howard Brookner and The Western LandsSmash the Control Machine: Howard Brookner and The Western Lands,http://www.pinballonline.moonfruit.com/
2013,Anna Fahr,,Transit Game,http://www.annafahr.com/
2013,"Sam Feder
",,Kate Bornstein is a Queer and Pleasant Danger,http://samfeder.com/make-me-a-star
2013,David Figueroa,,Perfidia (Bloom),http://www.fideliofilms.com/
2013,Jennifer Grausman,Sam Cullman,Art and Craft,http://www.nonsequiturproductions.com/
2013,Adam Keleman,,Easy Living,http://adamkeleman.com/film_video.html
2013,Yuki Kokubo,,Kasamayaki,http://yukikokubo.com/kasamayaki
2013,Shona Masarin,,Ghost line,http://ghostlinesproject.tumblr.com/Film
2013,Crystal Moselle,,The Wolfpack Project,
2013,Vincent Peone,Josh Ruben,The Sea is Blue,http://vincentpeone.tumblr.com/
2013,Bent-Jorgen Perlmutt,,Against the Clock,
2013,Chris Teague,,The Woods Are Burning,http://woodsareburning.com/
2013,Jessica Walker,,366,http://366film.wordpress.com/
