Year,Artist name,Co-applicant name,Film title,Link
1988,Anita Thacher,,Lost/In Memoriam,http://www.anitathacher.com/
1988,Leslie Thornton,,Peggy and Fred in Hell,
1988,Jack Walsh,,The Second Coming,
1988,Grahame Weinbren,,Sonata,http://grahameweinbren.net/
1988,Darrell Wilson,,Untitled,
1989,Jeff Balsmeyer,,The Room,http://www.jeffbalsmeyer.com/ftp.jeffbalsmeyer.com/Features.html
1989,Alan Berliner,,Intimate Stranger,http://www.alanberliner.com/
1989,Shu Lea Cheang,,Those Fluttering Objects of Desire,http://www.mauvaiscontact.info/
1989,Mark D’Auria,,Smoke,
1989,Gordon Eriksen,,Manchild,http://gordoneriksen.com/
1989,Ann Flournoy,,HOW TO BE LOUISE,http://anneflournoy.com/
1989,Nina Fonoroff,,The Accursed Mazurka,http://www.ninafonoroff.com/
1989,Su Friedrich,,Sink or Swim,http://www.sufriedrich.com/
1989,Matthew Geller,,Lizard Sales,http://www.matthewgeller.com/
1989,Barbara Hammer,,Sanctus,http://barbarahammer.com/
1989,Todd Haynes,,Poison,
1989,Peter Herwitz,,In the Shape of Waking,
1989,Franco Marinai,,"Y.I.M.E.R., Feet and Meters, Mirrors & Word for Word",http://www.marinai.com/
1989,Pola Rapaport,,Broken Meat,http://www.polarapaport.com/
1989,Terese Svoboda,,Orphans ,http://www.teresesvoboda.com/
1990,Peggy Ahwesh,,The Trilogy of Plato’s Cave: The Family Crisis,http://www.hi-beam.net/mkr/pa/pa-bio.html
1990,Irit Batsry,,Traces of a Presence to Come,http://www.iritbatsry.com/
1990,Terry Berkowitz,,A Rock and a Hard Place,http://www.terryberkowitz.com/
1990,Jonathan Berman,,The Shvitz,http://www.docurama.com/docurama/the-shvitz/
1990,Roddy Bogawa,,Some Divine Wind,http://www.roddybogawa.com/
1990,Donna Cameron,,Transpo,http://www.donnacameron.info/
1990,Ayoka Chenzira,,Alma’s Rainbow,http://www.ayoka.com/
1990,Abigail Child,,B/side,http://abigailchild.com/
1990,Leslie Harris,,Just Another Girl on the IRT,
1990,Kathryn High,,Underexposed: The Temple of the Fetus,
1990,Harriet A. Hirshorn,,The Disappearance of TiSoeur,
1990,Tom Kalin,,Swoon,
1990,Susan Meiselas,,Pictures from a Revolution,http://www.susanmeiselas.com/
1990,Kelvin Zachary Phillips,,Love In Brief,
1990,Daniel Walworth,,San Antonio Rose,
1990,Philip O. Weisman,,The Fugitive Chef,
1991,Beth B,,Under Lock and Key,http://www.bethbproductions.com/
1991,Zoe Beloff,,Echo,http://www.zoebeloff.com/
1991,Mark LaPore,,100 Views of New York,
1991,Daniel Minahan,,His Father's Song,
1991,Keith Sanborn,,The Gift,
1991,Jeffrey Noyes Scher,,Milk of Amnesia,
1991,Ellen Spiro,,Party Safe!,http://www.spirofilms.com/
1991,Penelope Wehrli,,"Kuss, Ikone, Kupala",http://andreaweiss.net/
1991,Andrea Weiss,,A Suitcase in Berlin,http://www.aether1.org/
1992,Maria Beatty,,Interior Scroll,
1992,Kyle Boyd,,Life Matters,
1992,Olivia Carrescia,,Mayan Voices: American Lives,http://icarusfilms.com/filmmakers/carr.html
1992,Yau Ching,,Flow,
1992,Jem Cohen,,Lost Book Found,http://jemcohenfilms.com/wp/
1992,Norman Cowie,,Scenes from an endless war (2001-2002),
1992,Susan Delson,,Arranging Flowers/A Definition of Luck,
1992,Richard Fahey,,Value 2 Comics,
1992,Su Friedrich,,Bedtime Stories,http://www.sufriedrich.com/
1992,Robin Guarino,,I Turned and Looked Another Way,http://www.robinguarino.com/clients/guarinor/nav/splash.shtml
1992,Thomas Allen Harris,,VINTAGE—Families of Value,http://www.chimpanzeeproductions.com/about.html
1992,Valerie Immy Humes,,Which Witch?,http://www.dochumes.com/
1992,Leandro Katz,,El Día Que Me Quieras,http://www.leandrokatz.com/
1992,Erik Day Lewis,,The Lost Artist - An Urban Fairytale,
1992,Nora Ligorano,Marshall Reese,Acid Migration of Culture,http://ligoranoreese.net/
1992,Jennifer Montgomery,,"I, a Lamb",http://www.ruthozeki.com/
1992,Ruth Ozeki,,Halving the Bones,
1992,Katherine Rivera Pieratos,,Wilma and Nicky,
1992,Trish Rosen,Kate Farrell,How Many Men?...,
1992,Catherine Saalfield,Jacqueline Woodson,Hallelujah!,
1992,Garth Stein,,Street Noise,
1992,Leslie Thornton,,The Great Invisible,
1993,Susana Aikin,Carlos Aparicio,The Transformation,http://susanaaikin.org/
1993,Mark D’Auria,,Feet of Clay,
1993,Mary Filippo,,The Trickle Down Theory of Sorrow,
1993,Larry Gottheim,,Chants & Dances for Hand,
1993,Amy Greenfield,,Raw-Edged Woman,http://www.amygreenfieldfilms.com/
1993,Sharon Greytak,,The Love Lesson,http://www.sharongreytak.com/
1993,Henry Hills,Sally Silvers,Mechanics of the Brain,http://www.henryhills.com/
1993,Yunah Hong,,Between the Lines: Asian American Women’s Poetry,
1993,Chris Kraus,,Gravity and Grace,http://semiotexte.com/?page_id=139
1993,Sherry Millner,,Wet Palms,
1993,Marilyn Rodan,,Girlina,
1993,Demetria Royals,,Inventing Herself,
1993,Calogero Salvo,,"Mama, I Have Something To Tell You",http://www.calogerosalvo.com/
1993,Dwight L. Smith,,Circles,
1994,Karim Aïnouz,,"Paixão Nacional/National Passion, parts II & III",
1994,Roddy Bogawa,,Junk,http://www.roddybogawa.com/
1994,Emily Breer,,Superhero,
1994,Jean Carlomusto,,To Catch a Glimpse,http://www.jeancarlomusto.com/
1994,Christine Chang,,House of Venus Flytrap,
1994,Yau Ching,,Diasporama,
1994,Joel Katz,,Dear Carry,http://www.onierafilms.com/Oniera_Films/home.html
1994,Jennifer Montgomery,,Art for Teachers of Children,
1994,Esther Podemski,,House of the World,http://www.estherpodemski.com/
1994,Ellen Spiro,,Roam Sweet Home,http://www.spirofilms.com/
1994,Carolyn Strachan,,Drowned Rats,
1994,Ela Troyano,,Latin Boys Go To Hell,
1995,Jo Andres,,Black Kites,http://joandres.com/
1995,Adam Cohen,,Fire of Time,http://www.blindgrace.com/index.html
1995,Janie Geiser,,Magnetic Sleep,http://www.janiegeiser.com/
1995,Peter Herwitz,,Patina,
1995,Kathryn High,,The 23 Songs of the Chromosomes,
1995,Lewis Klahr,,Pony Glass,
1995,Bill Oliver,,The Debutante,http://billoliverdirector.com/
1995,Tony Pemberton,,Beyond the Ocean,
1995,Jennifer Reeves,,Chronic,http://www.jenniferreevesfilm.com/pages/index.php
1995,Al Santana,,Journey 1000,http://www.alsantana.com/
1995,Peter Sillen,,I Am Secretly an Important Man,http://pumpernickelinc.com/
1995,Jocelyn Taylor,,Bodily Functions,
1996,Terry Berkowitz,,Chant for the Unsettled,http://www.terryberkowitz.com/
1996,Gregg Bordowitz,,The Suicide,http://www.greggbordowitz.com/
1996,Sandi DuBowski,,Trembling Before G-d,
1996,Daresha Kyi,,"Loosen Knot, Release Me",
1996,Lana Lin,,Almost the Cocktail Hour,http://www.linpluslam.com/index/home.html
1996,Ioannis Mookas,,Only Human,
1996,Suzie Silver,,The Look of Love: A Gothic Romance,http://harpsilver.com/artists/Suzie-Silver
1996,Laurie Wen,,"Don’t Worry, I’m Fine",
1997,John Kolomvakis,James Dowell,Sleep in a Nest of Flames,http://www.sleepinanestofflames.com/index.html
