Year,Artist name,Co-applicant name,Film title,Link
1991,Cathy Cook,,The Match That Started My Fire,
1991,Laura Davis,,Women's War,
1991,LeAnn Erickson,,People's Stff,
1991,Robert Foucault,,,
1991,Keith Froelich,,The Toilers and the Wayfarers,
1991,Mike Hazard,,Jim Northrup: With Reservations,
1991,Robert Lawrence,,Artists consider the Environment,
1991,Sandy Maliga,,circling: she + he,http://maliga.com/sandy/
1991,Eric Mueller,,World and Time Enough,
1991,J.J.Murphy,,Horicon,
1991,K. Erin O'Meara,Brian Smith,Cable access programs,
1991,Leighton Pierce,,Red Shovel,
1991,Camille G. Seaman,,,
1991,Bill Simonett,,Fare Game,
1991,L. Torrevillas,,,
1991,Xiong Vang,,Presenting the Hmong New Year,
1991,Garrett Williams,,Mixed Emotions,
1991,Rob Yeo,,,
1992,Bill Felker,,,
1992,Raul Ferrera-Balanquet,,,
1992,Al Gedicks,,Anishinaabe niijii = Friends of the Chippewa,
1992,Laura Jost,,,
1992,Tim Kaiser,,Burning Down My Uncle's House,http://tim-kaiser.org/
1992,Kathleen Laughlin,,Woman on Fire: Menopause Stories,http://www.menopausevideo.com/mediaposthome.htm
1992,Bridget McGibbon,,,
1992,Franklin Miller,,,
1993,Mary Ahmann,,,
1993,David Braden,,,
1993,LeAnn Erickson,,,
1993,Steven Grandell,,Stolen Shadows,
1993,Diane Kitchen,,,
1993,Bill Simonett,,,http://www.loft54.com/index.php
1993,Jerry Smith,,,
1993,Margaret Stratton,,,
1993,Nan Toskey,,,http://mediatoremember.com/
1993,Deb Wallwork,,,http://www.redeyevideo.org/
1993,Iverson White,,,
1995,Me-Kyung Ahn,,undertow,
1995,Daniel Pierce Bergin,,Mixed Messages,
1995,David W. Butler,,Neighbors Mural (,
1995,Cecelia Condit,,Book of Love,https://sites.google.com/site/ceceliacondit/
1995,Dennis Darmek,,Buddha’s Radio,
1995,Laura M. Davis,,Women’s War,
1995,Mo Donahue,,Soft Boiled Desire,
